Title,Description,Price,Manufactured Year,Region
"Chevrolet Nexia 2, 3 позиция DOHC","2009г., 1.6 л, Газ-бензин, 399 000 км, Седан, КПП Механика, Противотуманки, Аудиосистема, Встроенный телефон, Bluetooth, MP3,…",5400,2009,Наманган
"Chevrolet Nexia 2, 1 позиция SOHC","Торг есть 2014г., 1.5 л, Газ-бензин, 110 000 км, Черный, Седан, КПП Механика, Тонировка, Противотуманки, Велюр, Аудиосистема, Сигнализац…",6329,2014,Ташкент
Daewoo Matiz (Standart),"2010г., Газ, Жёлтый, КПП Механика, Балон куйилганига бир ой хам булгани йок хали",3300,2010,Каган
Daewoo Nexia,"Торг есть 2002г., 1.5 л, Газ-бензин, 500 000 км, Седан, КПП Механика, Шторки, Аудиосистема, Встроенный телефон, Bluetooth, CD, CD-чейндж…",4000,2002,Фергана
УАЗ Patriot,"Есть доставкаТорг есть 2020г., 2.7 л, Газ-бензин, 42 000 км, Внедорожник, КПП Механика, Литые диски, Тонировка, Багажник, Ксенон, Хрустальная оптика,…",17500,2020,Карши
"Chevrolet Lacetti, 1 позиция","2022г., 1.5 л, Бензин, 10 км, Седан, КПП Механика, Обогрев зеркал, Гидравлика руля, ABS, Полный электропакет, Центрозамок, Кон…",13400,2022,Ташкент
Kia Seltos,"Торг есть 2022г., 2 л, Бензин, 1 км, Черный, Внедорожник, КПП Автомат, Тонировка, Литые диски, Омыватель фар, Хрустальная оптика, Обогре…",34200,2022,Ташкент
"Chevrolet Nexia 3, 4 позиция","Торг есть 2020г., 1.5 л, Бензин, 40 350 км, Седан, КПП Автомат, Литые диски, Дневные ходовые огни, Противотуманки, Обогрев зеркал, Аудио…",10500,2020,Ташкент
Opel Vectra,"Торг есть 2000г., 2.2 л, Газ-бензин, 283 000 км, Серебристый, Седан, КПП Автомат, Ксенон, Противотуманки, Омыватель фар, Корректор фар,…",5500,2000,Ташкент
"Chevrolet Lacetti, 1 позиция Газ-бензин","Торг есть 2019г., 1.5 л, Газ-бензин, 120 000 км, Черный, КПП Механика, Ветровики, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравли…",12500,2019,Ташкент
Chevrolet Malibu 2,"2018г., 2 л, Бензин, 20 300 км, КПП Автомат, Продам свою Malibu 2 Turbo 2.0L Состояние идеальное. Не крашенная не битая, брал…",26500,2018,Ташкент
"Chevrolet Captiva, 1 позиция","Торг есть 2010г., 3.2 л, Бензин, Черный, Кроссовер, КПП Автомат, Люк, Литые диски, Обогрев зеркал, Противотуманки, Кожа, MP3, CD, Аудиос…",15000,2010,Ташкент
"Chevrolet Lacetti, 3 позиция","Торг есть 2021г., 1.6 л, Газ-бензин, 8 900 км, Черный, Седан, КПП Автомат, Литые диски, Люк, Противотуманки, Обогрев зеркал, Аудиосистем…",15500,2021,Ташкент
"Chevrolet Malibu, 2 позиция","Торг есть 2016г., 2.4 л, Бензин, Седан, КПП Механика, Люк, Литые диски, Противотуманки, Обогрев зеркал, Кожа, DVD, CD, Аудиосистема, Blu…",16200,2016,Андижан
"Chevrolet Cobalt, 3 позиция","2013г., 1.5 л, Газ-бензин, 136 000 км, Белый, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравлика ру…",8800,2013,Фергана
Chevrolet Niva,"Торг есть 2005г., 1.7 л, Газ-бензин, 1 км, Серебристый, Внедорожник, КПП Механика, Литые диски, Ветровики, Обогрев зеркал, Гидравлика ру…",5400,2005,Наманган
"Chevrolet Lacetti, 3 позиция","Торг есть 2018г., 1.6 л, Газ-бензин, 54 500 км, Белый, Седан, КПП Автомат, Люк, Панорамная крыша, Литые диски, Обогрев зеркал, Противоту…",13600,2018,Джизак
"Chevrolet Spark, 2 позиция","Торг есть 2010г., 1.6 л, Газ-бензин, 195 000 км, Хэтчбек, КПП Механика, Литые диски, Ветровики, Противотуманки, Шторки, Аудиосистема, Вс…",5800,2010,Андижан
Chevrolet Labo,"Торг есть 2020г., 3.5 л, Газ-бензин, 60 000 км, Белый, Фургон, КПП Механика, Литые диски, Обвес, Багажник, Противотуманки, Обогрев зерка…",9200,2020,Карши
"Chevrolet Matiz, 1 позиция","Торг есть 2006г., 0.8 л, Бензин, 273 000 км, Хэтчбек, КПП Механика, Аудиосистема, Техосмотр пройден, Rasxod yo'q balo'nlari yangi hadavo…",3000,2006,Ташкент
"Chevrolet Tracker, 2 позиция","Торг есть 2020г., Газ-бензин, 29 000 км, КПП Автомат, Литые диски, Багажник, Аудиосистема, Встроенный телефон, Bluetooth, CD, CD-чейндже…",17800,2020,Самарканд
УАЗ Patriot,"2018г., 2.7 л, Газ-бензин, 65 000 км, Белый, КПП Механика, Год выпуска 2018 Пробег 65 000 км Кузов Внедорожник 5 дв. Цвет Белы…",18000,2018,Ташкент
"Chevrolet Nexia 3, 2 позиция","2021г., 1.5 л, Газ-бензин, Седан, КПП Механика, Противотуманки, Аудиосистема, ABS, Подушка безопасности, Полный электропакет,…",10700,2021,Ташкент
"Chevrolet Lacetti, 3 позиция","Торг есть 2021г., 1.6 л, Бензин, 5 700 км, Белый, Седан, КПП Автомат, Литые диски, Люк, Противотуманки, Обогрев зеркал, Аудиосистема, Ги…",16000,2021,Ташкент
"Chevrolet Nexia 3, 4 позиция","2020г., 1.5 л, Бензин, 26 000 км, Седан, КПП Автомат, Литые диски, Тонировка, Противотуманки, Обогрев зеркал, Аудиосистема, Ги…",10200,2020,Ташкент
Hyundai Santa Fe,"Торг есть 2006г., 2.7 л, Бензин, Синий, Внедорожник, КПП Автомат, Багажник, Тонировка, Литые диски, Рейлинги, Ветровики, Хрустальная опт…",11300,2006,Ташкент
"Chevrolet Lacetti, 3 позиция","Есть доставка 2021г., 1.5 л, Бензин, 11 300 км, Белый, Седан, КПП Автомат, Литые диски, Люк, Спойлер, Ветровики, Линзованная оптика, Дневные…",14900,2021,Ташкент
Kia Carnival,"Торг есть 2009г., 2.9 л, Газ, 275 000 км, Лимузин, КПП Автомат, Литые диски, Люк, Ветровики, Противотуманки, Обогрев зеркал, Кожа, Аудио…",12500,2009,Кургантепинский район
Mercedes-Benz S 320,"Торг есть 2002г., 3.2 л, Бензин, 200 000 км, Черный, Седан, КПП Автомат, Литые диски, Тонировка, Люк, Панорамная крыша, Спойлер, Ксенон,…",28545,2002,Джизак
Chevrolet Damas,"2014г., 3.8 л, Бензин, 28 000 км, Белый, Седан, КПП Механика, Литые диски, Противотуманки, Обогрев зеркал, Аудиосистема, Встро…",6900,2014,Наманган
"Chevrolet Malibu, 1 позиция","Торг есть 2012г., 2.4 л, Бензин, 3 400 км, Седан, КПП Механика, Литые диски, Противотуманки, Обогрев зеркал, Аудиосистема, Bluetooth, CD…",16500,2012,Дехканабадский район
"Chevrolet Lacetti, 3 позиция","Торг есть 2021г., 1.6 л, Бензин, Седан, КПП Автомат, Багажник, Литые диски, Люк, Тонировка, Противотуманки, Линзованная оптика, Обогрев…",15500,2021,Ташкент
"Chevrolet Cobalt, 2 позиция","Торг есть 2020г., 1.5 л, Бензин, 16 500 км, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, ABS, Подушка безопасности…",11510,2020,Навои
ВАЗ (Lada) Largus,"Торг есть 2015г., 1.6 л, Газ-бензин, 70 000 км, Универсал, КПП Механика, Аудиосистема, Встроенный телефон, Bluetooth, CD, CD-чейнджер, M…",12600,2015,Бухара
Chevrolet Labo,"2022г., Бензин, 80 км, Белый, Микровэн, КПП Механика, Kraska toza salondan uyga km",8500,2022,Андижан
ВАЗ (Lada) Largus,"Торг есть 2014г., 1.6 л, Газ-бензин, 72 000 км, Хэтчбек, КПП Механика, Аудиосистема, CD, Super mashina hech qanday xarajat yoq",12500,2014,Бухара
Daewoo Damas,"Есть доставкаТорг есть 2019г., 3 л, Бензин, 3 400 км, Белый, КПП Механика, Техосмотр пройден, Вложений не требует, Фирма продает машину собственный Д…",7827,2019,Ташкент
"Chevrolet Cobalt, 2 позиция","Торг есть 2018г., 1.5 л, Бензин, 78 000 км, Мокрый асфальт, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, ABS, Конд…",10200,2018,Ташкент
"Chevrolet Lacetti, 2 позиция","Торг есть 2010г., 1.8 л, Газ-бензин, Черный, Седан, КПП Механика, Тонировка, Спойлер, Обвес, Ветровики, Противотуманки, Обогрев зеркал,…",9100,2010,Ташкент
"Chevrolet Captiva, 4 позиция","Торг есть 2017г., 2.4 л, Бензин, 28 500 км, Белый, Кроссовер, КПП Автомат, Литые диски, Люк, Рейлинги, Противотуманки, Обогрев зеркал, К…",25000,2017,Самарканд
ВАЗ (Lada) Priora,"Торг есть 2008г., 1.6 л, Бензин, 86 000 км, Красный, Седан, КПП Механика, Литые диски, Тонировка, USB, Аудиосистема, CD, Кондиционер, Кл…",4700,2008,Самарканд
Daewoo Nexia II,"Торг есть 2009г., 1.6 л, Бензин, 142 000 км, Бежевый, Седан, КПП Механика, Аудиосистема, MP3, Сабвуфер, Гидравлика руля, Сигнализация, А…",5600,2009,Бухара
"Chevrolet Lacetti, 1 позиция","Торг есть 2019г., 1.5 л, Бензин, 81 127 км, Седан, КПП Механика, Обогрев зеркал, Аудиосистема, Гидравлика руля, ABS, Подушка безопасност…",11500,2019,Ташкент
Ravon R2,"2018г., 1.2 л, Бензин, 67 600 км, Хэтчбек, КПП Автомат, Гидравлика руля, Подушка безопасности, Сигнализация, Кондиционер, Муль…",8200,2018,Ташкент
"Chevrolet Lacetti, 1 позиция","Торг есть 2022г., 1.5 л, Бензин, 10 км, Белый, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравлика руля, ABS,…",13260,2022,Карши
ВАЗ (Lada) 2101,"1973г., Газ, 53 000 км, Седан, КПП Механика, MP3, Kuzif iwi bor",1105,1973,Джизак
ВАЗ (Lada) 2106,"Торг есть 1991г., Газ-бензин, 100 000 км, Черный, Седан, КПП Механика, Литые диски, Обогрев зеркал, Кожа, Аудиосистема, MP3, USB, Встрое…",3500,1991,Наманган
"Chevrolet Cobalt, 2 позиция","2020г., 1.5 л, Газ-бензин, 103 000 км, Седан, КПП Механика, Литые диски, Противотуманки, Обогрев зеркал, Аудиосистема, ABS, По…",11000,2020,Бекабад
Daewoo Nexia,"Торг есть 2009г., 1.6 л, Бензин, 258 000 км, Седан, КПП Механика, Литые диски, Спойлер, Багажник, Ксенон, Противотуманки, Обогрев зеркал…",6248,2009,Турткульский район
Mercedes-Benz S 600,"Торг есть 2011г., 1.8 л, Бензин, 157 000 км, Черный, Седан, КПП Автомат, Линзованная оптика, Биксенон, Кожа, CD, Аудиосистема, MP3, CD-ч…",32000,2011,Ташкент
"Chevrolet Nexia 3, 4 позиция","Торг есть 2020г., 1.5 л, Газ-бензин, Черный, Седан, КПП Автомат, Литые диски, Противотуманки, Обогрев зеркал, Шторки, Bluetooth, Аудиоси…",10800,2020,Ташкент
"Chevrolet Lacetti, 2 позиция","Торг есть 2015г., 1.5 л, Газ-бензин, 74 000 км, Мокрый асфальт, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, Гидра…",10000,2015,Ташкент
Daewoo Matiz (Standart),"Торг есть 2002г., 0.8 л, Газ-бензин, 2 000 км, Седан, КПП Механика, Тонировка, Велюр, Шторки, Аудиосистема, Встроенный телефон, Bluetoot…",3223,2002,Бухара
"Chevrolet Lacetti, 3 позиция","2007г., 1.6 л, Газ-бензин, 8 000 км, Черный, Седан, КПП Автомат, Литые диски, Тонировка, Люк, Ксенон, Хрустальная оптика, Днев…",10000,2007,Самарканд
Chevrolet Malibu 2,"Торг есть 2020г., 1.5 л, Бензин, 48 000 км, Черный, КПП Автомат, Аудиосистема, Встроенный телефон, Bluetooth, CD, MP3, USB, DVD, Гидравл…",25000,2020,Ташкент
"Chevrolet Lacetti, 3 позиция","2019г., 1.6 л, Бензин, 40 000 км, Белый, Седан, КПП Автомат, Литые диски, Люк, Противотуманки, Обогрев зеркал, Аудиосистема, Г…",14000,2019,Ташкент
Chevrolet Damas,"Торг есть 2016г., Газ-бензин, 166 000 км, Белый, Седан, КПП Механика, Шторки, Аудиосистема, Kraska toza. Balonlari yangi charmhoo. Chexo…",6600,2016,Джизак
"Chevrolet Nexia 3, 2 евро позиция","Торг есть 2020г., 1.5 л, Бензин, Седан, КПП Механика, Обогрев зеркал, Противотуманки, Аудиосистема, ABS, Центрозамок, Подушка безопаснос…",9000,2020,Фергана
Kia Bongo,"Торг есть 2014г., 2.4 л, Дизель, 320 000 км, Фургон, КПП Механика, Багажник, Хрустальная оптика, Кожа, Аудиосистема, CD, CD-чейнджер, MP…",15000,2014,Ташкент
"Chevrolet Lacetti, 3 позиция","Торг есть 2017г., 1.6 л, Бензин, 30 800 км, Коричневый, Седан, КПП Автомат, Противотуманки, Обогрев зеркал, Велюр, Шторки, Аудиосистема,…",12500,2017,Ташкент
"Chevrolet Nexia 3, 2 позиция","Торг есть 2020г., 1.5 л, Бензин, 28 300 км, Белый, Седан, КПП Механика, Противотуманки, Аудиосистема, Гидравлика руля, ABS, Подушка безо…",9500,2020,Бухара
"Chevrolet Spark, 2 евро позиция","2013г., 1 л, Газ-бензин, 85 000 км, Белый, Хэтчбек, КПП Механика, Противотуманки, Аудиосистема, Гидравлика руля, ABS, Подушка…",6400,2013,Бухара
Hyundai Starex,"Торг есть 2006г., Газ-бензин, 120 000 км, Минивэн, КПП Механика, Литые диски, Хрустальная оптика, Противотуманки, Корректор фар, Обогрев…",12000,2006,Ташкент
"Chevrolet Captiva, 3 позиция","Торг есть 2015г., 3.2 л, Бензин, 10 000 км, Кроссовер, КПП Автомат, Литые диски, Люк, Ксенон, Противотуманки, Обогрев зеркал, Гидравлика…",25000,2015,Муборекский район
Daewoo Tico,"Торг есть 1999г., Бензин, 324 000 км, Хэтчбек, КПП Механика, Корректор фар, Кожа, Аудиосистема, Встроенный телефон, Bluetooth, MP3, Сабв…",2900,1999,Булакбашинский район
"Chevrolet Lacetti, 3 позиция","Торг есть 2021г., 1.5 л, Бензин, 14 000 км, Седан, КПП Автомат, Ветровики, Литые диски, Тонировка, Люк, Обвес, Противотуманки, Обогрев з…",17500,2021,Ташкент
Isuzu D-Max,"АвтосалонЕсть доставка 2021г., 2.5 л, Дизель, Хамелеон, Пикап, КПП Механика, Литые диски, Гидравлика руля, ABS, Подушка безопасности, Турбонаддув, Це…",32228,2021,Ташкент
Isuzu Pick Up,"АвтосалонЕсть доставка 2021г., 3 л, Дизель, Белый, Пикап, КПП Автомат, Литые диски, Кожа, Гидравлика руля, ABS, Подушка безопасности, Турбонаддув, Бе…",36372,2021,Ташкент
Daewoo Tico,"Торг есть 1998г., Бензин, Зеленый, Хэтчбек, КПП Механика, Шторки, Bluetooth, MP3, USB, Qolgan ma'lumotlar telda",2000,1998,Андижан
"Chevrolet Cobalt, 2 евро позиция","Торг есть 2021г., 1.5 л, Бензин, Седан, КПП Механика, Литые диски, Противотуманки, Обогрев зеркал, CD-чейнджер, CD, USB, Bluetooth, Встр…",11694,2021,Ургенч
"Chevrolet Lacetti, 1 позиция Газ-бензин","2015г., 1.5 л, Газ-бензин, 175 000 км, Мокрый асфальт, Седан, КПП Механика, Обогрев зеркал, Аудиосистема, Гидравлика руля, ABS…",9500,2015,Ташкент
Changan SC6483,"Торг есть 2014г., 1.5 л, Газ-бензин, 211 030 км, Белый, Фургон, КПП Механика, Гидравлика руля, Зимний режим, Техосмотр пройден, Вложений…",8700,2014,Гулистан
Daewoo Nexia,"Торг есть 2007г., 1.5 л, Газ-бензин, 406 000 км, Белый, Седан, КПП Механика, Ветровики, Противотуманки, Аудиосистема, CD, Гидравлика рул…",5200,2007,Ташкент
"Chevrolet Cobalt, 4 позиция","2022г., 1.5 л, Бензин, Белый, Седан, КПП Автомат, Литые диски, Люк, Рейлинги, Противотуманки, Обогрев зеркал, Гидравлика руля,…",12700,2022,Ташкент
"Chevrolet Spark, 2 позиция","2019г., 1.3 л, Бензин, Белый, Хэтчбек, КПП Механика, Противотуманки, MP3, CD, Аудиосистема, USB, Центрозамок, ABS, Гидравлика…",7500,2019,Ташкент
"Chevrolet Lacetti, 2 позиция","2012г., 1.8 л, Газ-бензин, 195 000 км, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравлика руля, ABS…",8100,2012,Ташкент
"Chevrolet Captiva, 4 позиция","Торг есть 2017г., 3 л, Бензин, Белый, Кроссовер, КПП Автомат, Люк, Тонировка, Литые диски, Ветровики, Рейлинги, Багажник, Линзованная оп…",24200,2017,Ташкент
"Chevrolet Spark, 2 позиция","Есть доставкаТорг есть 2017г., 1.3 л, Газ-бензин, 100 000 км, Хэтчбек, КПП Механика, Противотуманки, Велюр, Bluetooth, CD, MP3, USB, Гидравлика руля,…",7300,2017,Ташкент
Kia Carnival,"Торг есть 2016г., 2 л, Дизель, 220 000 км, Минивэн, КПП Автомат, Литые диски, Тонировка, Люк, Хрустальная оптика, Кожа, Шторки, Аудиосис…",22800,2016,Бекабад
Hyundai Sonata,"Торг есть 2021г., 2 л, Бензин, Серебристый, Седан, КПП Автомат, Люк, Панорамная крыша, Литые диски, Ксенон, Линзованная оптика, Дневные…",35000,2021,Самарканд
"Chevrolet Lacetti, 3 позиция","2022г., 1.6 л, Бензин, Седан, КПП Автомат, Литые диски, Люк, Противотуманки, Обогрев зеркал, Аудиосистема, Гидравлика руля, AB…",16000,2022,Карши
ВАЗ (Lada) Нива,"1992г., 1.5 л, Бензин, Хэтчбек, КПП Механика, Противотуманки, Сигнализация, Центрозамок, Камера заднего вида, Техосмотр пройде…",4000,1992,Ташкент
"Chevrolet Cobalt, 4 позиция","Есть доставкаТорг есть 2020г., 1.5 л, Газ-бензин, 75 000 км, Белый, Седан, КПП Автомат, Литые диски, Рейлинги, Линзованная оптика, Дневные ходовые ог…",11500,2020,Самарканд
ВАЗ (Lada) 2106,"Торг есть 1982г., Бензин, Седан, КПП Механика, Аудиосистема, Техосмотр пройден, Вложений не требует, Аренда Выкуп Вариант ГАЗ ЙОК Факат…",1700,1982,Ташкент
Chevrolet Equinox,"2021г., Бензин, 6 300 км, Черный, Хэтчбек, КПП Автомат, Литые диски, Тонировка, Люк, Спойлер, Противотуманки, Обогрев зеркал,…",39000,2021,Ташкент
ВАЗ (Lada) XRAY,"Торг есть 2019г., 1.6 л, Бензин, 26 000 км, Хэтчбек, КПП Механика, Тонировка, Противотуманки, Обогрев зеркал, Кожа, Алькантара, Аудиосис…",11510,2019,Карши
Chevrolet Spark,"Торг есть 2021г., 1.3 л, Бензин, 14 200 км, Хэтчбек, КПП Механика, Тонировка, Обогрев зеркал, Алькантара, Комбинированный, Аудиосистема,…",9300,2021,Ташкент
"Chevrolet Cobalt, 2 позиция","2021г., 1.5 л, Бензин, 19 500 км, Белый, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Аудиосистема, ABS, Подушка безоп…",11500,2021,Самарканд
Daewoo Lacetti,"2006г., 1.6 л, Бензин, 171 300 км, Черный, Седан, КПП Автомат, Литые диски, Ветровики, Багажник, Кожа, Аудиосистема, Bluetooth…",10000,2006,Ташкент
Hyundai Santa Fe,"2021г., 3.5 л, Бензин, 6 000 км, Кроссовер, КПП Автомат, Литые диски, Тонировка, Люк, Панорамная крыша, Обвес, Ветровики, Рейл…",60000,2021,Ташкент
"Chevrolet Spark, 4 позиция","2020г., 1.3 л, Бензин, 8 000 км, Белый, Хэтчбек, КПП Автомат, Литые диски, Противотуманки, Аудиосистема, Гидравлика руля, ABS,…",9500,2020,Ташкент
"Chevrolet Lacetti, 1 позиция","Торг есть 2020г., 1.5 л, Бензин, 16 000 км, Седан, КПП Механика, Противотуманки, Обогрев зеркал, Комбинированный, Аудиосистема, Bluetoot…",11500,2020,Ташкент
Hyundai Santa Fe,"Торг есть 2020г., 2 л, Бензин, Белый, Внедорожник, КПП Автомат, Панорамная крыша, Люк, Литые диски, Тонировка, Ксенон, Кожа, Bluetooth,…",45000,2020,Ташкент
ГАЗ 24011,"Торг есть 1975г., Газ, 778 000 км, Серебристый, Седан, КПП Механика, Кожа, Аудиосистема, Hamma detallari o'ziniki radnoy chirigan joylar…",2600,1975,Ташкент
